Date,Revenue,COGS,is_test,day_of_week,day_of_month,month,quarter,year,week_of_year,is_weekend,is_month_start,is_month_end,revenue_lag_1,revenue_lag_7,revenue_lag_30,rolling_mean_7,rolling_std_7,revenue_growth_rate,active_promos_count,is_promo_active,sessions_lag_1,sessions_lag_7,sessions_rolling_mean_7,total_stock_on_hand,total_stockouts,revenue_lag_14,revenue_rolling_mean_7,revenue_rolling_mean_30,revenue_rolling_std_7,is_payday,is_double_day,is_christmas,days_to_payday,days_to_double_day,revenue_lag_2,revenue_lag_3,revenue_diff_1,revenue_diff_7,revenue_acceleration,weekend_x_payday,promo_x_weekend,sessions_per_dayofweek
2012-07-24,4096496.12,3248450.65,0,1,24,7,3,2012,30,0,0,0,4730517.69,4476729.49,,4649150.542857142,1120951.363625175,0.5173828246834182,0.0,0,,,,0.0,0.0,5234938.62,4649150.542857142,,1120951.363625175,0,0,0,1,14,3117550.57,3442157.02,1612967.1200000006,253788.2000000002,1937573.5700000008,0,0,
2012-07-25,5246688.08,4140019.37,0,2,25,7,3,2012,30,0,0,0,4096496.12,5184141.46,,4594831.49,1139754.0475025706,-0.13402794610413982,0.0,0,,,,0.0,0.0,5582884.78,4594831.49,,1139754.0475025706,1,0,0,0,13,4730517.69,3117550.57,-634021.5700000003,-1087645.3399999999,-2246988.690000001,0,0,
2012-07-26,5851965.06,4579171.74,0,3,26,7,3,2012,30,0,0,0,5246688.08,6421487.11,,4603766.721428571,1145375.3123940935,0.2807745757122797,0.0,0,,,,0.0,0.0,5734632.02,4603766.721428571,,1145375.3123940935,0,0,0,5,12,4096496.12,4730517.69,1150191.96,-1174799.0300000003,1784213.5300000003,0,0,
2012-07-27,5156699.45,3989402.2,0,4,27,7,3,2012,30,0,0,0,5851965.06,5171470.46,,4522406.428571428,1006550.4489806435,0.11536362954513568,0.0,0,,,,0.0,0.0,5309511.71,4522406.428571428,,1006550.4489806435,0,0,0,4,11,5246688.08,4096496.12,605276.9799999995,680494.5999999996,-544914.9800000004,0,0,
2012-07-28,4326956.84,3403662.59,0,5,28,7,3,2012,30,1,0,0,5156699.45,3442157.02,,4520296.284285714,1004977.2127794027,-0.11880891339429822,0.0,0,,,,0.0,0.0,3820831.41,4520296.284285714,,1004977.2127794027,0,0,0,3,10,5851965.06,5246688.08,-695265.6099999994,1714542.4300000002,-1300542.589999999,0,0,
2012-07-29,4804199.65,3819645.91,0,6,29,7,3,2012,30,1,0,0,4326956.84,3117550.57,,4646696.258571428,896570.5384278942,-0.16090575338843927,0.0,0,,,,0.0,0.0,3948841.28,4646696.258571428,,896570.5384278942,0,0,0,2,9,5156699.45,5851965.06,-829742.6100000003,1209406.27,-134477.00000000093,0,0,
2012-07-30,6586130.95,5195109.56,0,0,30,7,3,2012,31,0,0,0,4804199.65,4730517.69,,4887646.127142857,592052.2625500921,0.1102952554525598,0.0,0,,,,0.0,0.0,3503801.49,4887646.127142857,,592052.2625500921,0,0,0,1,8,4326956.84,5156699.45,477242.8100000005,73681.95999999996,1306985.4200000009,0,0,
2012-07-31,9151622.14,7142891.18,0,1,31,7,3,2012,31,0,0,1,6586130.95,4096496.12,,5152733.735714287,863270.5790320875,0.3709111672742409,0.0,0,,,,23698.0,264.0,4476729.49,5152733.735714287,,863270.5790320875,0,0,0,0,7,4804199.65,4326956.84,1781931.2999999998,2489634.83,1304688.4899999993,0,0,
2012-08-01,9148357.3,7308514.33,0,2,1,8,3,2012,31,0,1,0,9151622.14,5246688.08,,5874894.595714286,1617419.3937052812,0.3895293320883637,0.0,0,,,,23698.0,264.0,5184141.46,5874894.595714286,,1617419.3937052812,1,0,0,0,7,6586130.95,4804199.65,2565491.1900000004,3904934.0600000005,783559.8900000006,0,0,
2012-08-02,9692427.0,7537501.15,0,3,2,8,3,2012,31,0,0,0,9148357.3,5851965.06,,6432275.912857143,1993425.4476431636,-0.0003567498690456583,0.0,0,,,,23698.0,264.0,6421487.11,6432275.912857143,,1993425.4476431636,0,0,0,3,6,9151622.14,6586130.95,-3264.839999999851,3296392.240000001,-2568756.0300000003,0,0,
2012-08-03,9297269.95,7118808.46,0,4,3,8,3,2012,31,0,0,0,9692427.0,5156699.45,5123547.94,6980913.332857142,2310385.0107198316,0.05947184638273795,0.0,0,,,,23698.0,264.0,5171470.46,6980913.332857142,4974918.593666667,2310385.0107198316,0,0,0,2,5,9148357.3,9151622.14,544069.6999999993,4535727.55,547334.5399999991,0,0,
2012-08-04,6384195.03,5087528.11,0,5,4,8,3,2012,31,1,0,0,9297269.95,4326956.84,2751773.45,7572423.404285714,2295496.8932570275,-0.04076966997017373,0.0,0,,,,23698.0,264.0,3442157.02,7572423.404285714,5114042.660666666,2295496.8932570275,0,0,0,1,4,9692427.0,9148357.3,-395157.05000000075,4970313.109999999,-939226.75,0,0,
2012-08-05,2359224.19,1863413.11,0,6,5,8,3,2012,31,1,0,0,6384195.03,4804199.65,3054029.42,7866314.574285715,1910063.9270562544,-0.31332584034520794,0.0,0,,,,23698.0,264.0,3117550.57,7866314.574285715,5235123.38,1910063.9270562544,1,0,0,0,3,9297269.95,9692427.0,-2913074.919999999,1579995.38,-2517917.8699999982,1,0,
2012-08-06,3630003.7,2922718.71,0,0,6,8,3,2012,32,0,0,0,2359224.19,6586130.95,2667930.94,7517032.365714286,2645359.947002691,-0.6304586280785974,0.0,0,,,,23698.0,264.0,4730517.69,7517032.365714286,5211963.205666666,2645359.947002691,0,0,0,9,2,6384195.03,9297269.95,-4024970.8400000003,-4226906.76,-1111895.9200000013,0,0,
2012-08-07,2240253.44,1781265.84,0,1,7,8,3,2012,32,0,0,0,3630003.7,9151622.14,2360851.9,7094728.472857143,3027144.029501683,0.5386429638126085,0.0,0,,,,23698.0,264.0,4096496.12,7094728.472857143,5244032.297666667,3027144.029501683,0,0,0,8,1,2359224.19,6384195.03,1270779.5100000002,-5521618.44,5295750.350000001,0,0,
2012-08-08,2617553.36,1997006.42,0,2,8,8,3,2012,32,0,0,0,2240253.44,9148357.3,3548386.46,6107390.087142857,3353924.6295311223,-0.3828509210610447,0.0,0,,,,23698.0,264.0,5246688.08,6107390.087142857,5240012.349,3353924.6295311223,0,1,0,7,0,3630003.7,2359224.19,-1389750.2600000002,-6908103.860000001,-2660529.7700000005,0,0,
2012-08-09,4478691.52,3621672.71,0,3,9,8,3,2012,32,0,0,0,2617553.36,9692427.0,5234938.62,5174418.095714286,3274428.300186271,0.1684184089457308,0.0,0,,,,23698.0,264.0,5851965.06,5174418.095714286,5208984.578999999,3274428.300186271,0,0,0,6,30,2240253.44,3630003.7,377299.9199999999,-7074873.640000001,1767050.1800000002,0,0,
2012-08-10,3412496.65,2699279.56,0,4,10,8,3,2012,32,0,0,0,4478691.52,9297269.95,5582884.78,4429598.741428571,2598705.577580388,0.7110220515237176,0.0,0,,,,23698.0,264.0,5156699.45,4429598.741428571,5183776.342333334,2598705.577580388,0,0,0,5,29,2617553.36,2240253.44,1861138.1599999997,-4818578.43,1483838.2399999998,0,0,
2012-08-11,2732604.35,2168668.05,0,5,11,8,3,2012,32,1,0,0,3412496.65,6384195.03,5734632.02,3588916.8414285714,1467008.0290852978,-0.23805945670489037,0.0,0,,,,23698.0,264.0,4326956.84,3588916.8414285714,5111430.071333334,1467008.0290852978,0,0,0,4,28,4478691.52,2617553.36,-1066194.8699999996,-2971698.3800000004,-2927333.0299999993,0,0,
2012-08-12,3388181.83,2654275.25,0,6,12,8,3,2012,32,1,0,0,2732604.35,2359224.19,5309511.71,3067261.0300000003,809062.50033577,-0.1992360344148616,0.0,0,,,,23698.0,264.0,4804199.65,3067261.0300000003,5011362.482333333,809062.50033577,0,0,0,3,27,3412496.65,4478691.52,-679892.2999999998,373380.16000000015,386302.56999999983,0,0,
2012-08-13,3928170.01,3189564.96,0,0,13,8,3,2012,33,0,0,0,3388181.83,3630003.7,3820831.41,3214254.978571429,750323.9548528937,0.23990940364271895,0.0,0,,,,23698.0,264.0,6586130.95,3214254.978571429,4947318.153,750323.9548528937,0,0,0,2,26,2732604.35,3412496.65,655577.48,-241821.8700000001,1335469.7799999998,0,0,
2012-08-14,4033912.16,3258198.58,0,1,14,8,3,2012,33,0,0,0,3928170.01,2240253.44,3948841.28,3256850.1657142853,785498.0846902754,0.15937402627532538,0.0,0,,,,23698.0,264.0,9151622.14,3256850.1657142853,4950896.106333333,785498.0846902754,0,0,0,1,25,3388181.83,2732604.35,539988.1799999997,1687916.5699999998,-115589.30000000028,0,0,
2012-08-15,3780293.26,2886923.59,0,2,15,8,3,2012,33,0,0,0,4033912.16,2617553.36,3503801.49,3513087.125714286,684689.495179207,0.026918934193482125,0.0,0,,,,23698.0,264.0,9148357.3,3513087.125714286,4953731.8023333335,684689.495179207,1,0,0,0,24,3928170.01,3388181.83,105742.15000000037,1416358.8000000003,-434246.02999999933,0,0,
2012-08-16,5249978.18,4222455.97,0,3,16,8,3,2012,33,0,0,0,3780293.26,4478691.52,4476729.49,3679192.825714286,561111.8273141019,-0.0628716962443725,0.0,0,,,,23698.0,264.0,9692427.0,3679192.825714286,4962948.194666667,561111.8273141019,0,0,0,9,23,4033912.16,3928170.01,-253618.90000000037,-698398.2599999998,-359361.05000000075,0,0,
2012-08-17,4089284.05,3238908.92,0,4,17,8,3,2012,33,0,0,0,5249978.18,3412496.65,5184141.46,3789376.634285714,778059.9871780905,0.3887753724164775,0.0,0,,,,23698.0,264.0,9297269.95,3789376.634285714,4988723.151,778059.9871780905,0,0,0,8,22,3780293.26,4033912.16,1469684.92,1837481.5299999998,1723303.8200000003,0,0,
2012-08-18,3450015.71,2808916.94,0,5,18,8,3,2012,33,1,0,0,4089284.05,2732604.35,6421487.11,3886060.5485714287,765368.7066113293,-0.22108551506398832,0.0,0,,,,23698.0,264.0,6384195.03,3886060.5485714287,4952227.904,765368.7066113293,0,0,0,7,21,5249978.18,3780293.26,-1160694.13,1356679.6999999997,-2630379.05,0,0,
2012-08-19,3904300.93,3006801.4,0,6,19,8,3,2012,33,1,0,0,3450015.71,3388181.83,5171470.46,3988547.885714286,619258.1397202748,-0.15632769261895607,0.0,0,,,,23698.0,264.0,2359224.19,3988547.885714286,4853178.857333333,619258.1397202748,0,0,0,6,20,4089284.05,5249978.18,-639268.3399999999,61833.87999999989,521425.79000000004,0,0,
2012-08-20,3541027.32,2827038.81,0,0,20,8,3,2012,34,0,0,0,3904300.93,3928170.01,3442157.02,4062279.185714286,564134.7176804284,0.1316762757581762,0.0,0,,,,23698.0,264.0,3630003.7,4062279.185714286,4810939.873,564134.7176804284,0,0,0,5,19,3450015.71,4089284.05,454285.2200000002,-23869.07999999961,1093553.56,0,0,
2012-08-21,4147483.23,3364364.64,0,1,21,8,3,2012,34,0,0,0,3541027.32,4033912.16,3117550.57,4006973.0871428573,597466.1444912966,-0.09304446980730052,0.0,0,,,,23698.0,264.0,2240253.44,4006973.0871428573,4814235.549666666,597466.1444912966,0,0,0,4,18,3904300.93,3450015.71,-363273.61000000034,-492884.8400000003,-817558.8300000005,0,0,
2012-08-22,4597682.81,3562468.33,0,2,22,8,3,2012,34,0,0,0,4147483.23,3780293.26,4730517.69,4023197.5257142857,599856.8610691493,0.17126552697706954,0.0,0,,,,23698.0,264.0,2617553.36,4023197.5257142857,4848566.638333334,599856.8610691493,0,0,0,3,17,3541027.32,3904300.93,606455.9100000001,367189.9700000002,969729.5200000005,0,0,
2012-08-23,5478869.55,4195738.04,0,3,23,8,3,2012,34,0,0,0,4597682.81,5249978.18,4096496.12,4139967.461428571,623772.6424724009,0.10854765529696908,0.0,0,,,,23698.0,264.0,4478691.52,4139967.461428571,4844138.809,623772.6424724009,0,0,0,2,16,4147483.23,3541027.32,450199.5799999996,-652295.3700000001,-156256.33000000054,0,0,
2012-08-24,4637850.57,3632210.67,0,4,24,8,3,2012,34,0,0,0,5478869.55,4089284.05,5246688.08,4172666.2285714285,693734.3870688606,0.1916588804437338,0.0,0,,,,23698.0,264.0,3412496.65,4172666.2285714285,4890217.923333333,693734.3870688606,0,0,0,1,15,4597682.81,4147483.23,881186.7400000002,1389585.5,430987.1600000006,0,0,
2012-08-25,3589566.28,2784342.75,0,5,25,8,3,2012,34,1,0,0,4637850.57,3450015.71,5851965.06,4251032.874285714,713449.2465590789,-0.15350228223630535,0.0,0,,,,23698.0,264.0,2732604.35,4251032.874285714,4869923.339666667,713449.2465590789,1,0,0,0,14,5478869.55,4597682.81,-841018.9799999995,1187834.8600000003,-1722205.7199999997,1,0,
2012-08-26,4280204.53,3476942.48,0,6,26,8,3,2012,34,1,0,0,3589566.28,3904300.93,5156699.45,4270968.67,688862.1621575912,-0.22602804341753524,0.0,0,,,,23698.0,264.0,3388181.83,4270968.67,4794510.047,688862.1621575912,0,0,0,5,13,4637850.57,5478869.55,-1048284.2900000005,-314734.6500000004,-207265.310000001,0,0,
2012-08-27,3038895.84,2365260.68,0,0,27,8,3,2012,35,0,0,0,4280204.53,3541027.32,4326956.84,4324669.184285714,669905.5062253146,0.19240158730263102,0.0,0,,,,23698.0,264.0,3928170.01,4324669.184285714,4765293.549666666,669905.5062253146,0,0,0,4,12,3589566.28,4637850.57,690638.2500000005,739177.2100000004,1738922.540000001,0,0,
2012-08-28,9508676.62,7439851.59,0,1,28,8,3,2012,35,0,0,0,3038895.84,4147483.23,4804199.65,4252936.115714285,784829.0061274213,-0.290011535967418,0.0,0,,,,23698.0,264.0,4033912.16,4252936.115714285,4722358.182999999,784829.0061274213,0,0,0,3,11,4280204.53,3589566.28,-1241308.6900000004,-1108587.3900000001,-1931946.9400000009,0,0,
2012-08-29,9260558.32,7336294.54,0,2,29,8,3,2012,35,0,0,0,9508676.62,4597682.81,6586130.95,5018820.885714286,2129216.247981561,2.128990633650675,0.0,0,,,,23698.0,264.0,3780293.26,5018820.885714286,4879174.082,2129216.247981561,0,0,0,2,10,3038895.84,4280204.53,6469780.779999999,4910993.81,7711089.47,0,0,
2012-08-30,10086534.1,7950911.72,0,3,30,8,3,2012,35,0,0,0,9260558.32,5478869.55,9151622.14,5684945.9585714275,2642924.2604166674,-0.026093883504053728,0.0,0,,,,23698.0,264.0,5249978.18,5684945.9585714275,4968321.660999999,2642924.2604166674,0,0,0,1,9,9508676.62,3038895.84,-248118.29999999888,3781688.7700000005,-6717899.079999998,0,0,
2012-08-31,9104678.52,7277460.12,0,4,31,8,3,2012,35,0,0,1,10086534.1,4637850.57,9148357.3,6343183.7514285715,3114719.452716161,0.0891928706086913,0.0,0,,,,26249.0,300.0,4089284.05,6343183.7514285715,4999485.393000001,3114719.452716161,0,0,0,0,8,9260558.32,9508676.62,825975.7799999993,5448683.529999999,1074094.0799999982,0,0,
2012-09-01,8560208.92,6738335.17,0,5,1,9,3,2012,35,1,1,0,9104678.52,3589566.28,9692427.0,6981302.03,3164284.8362573204,-0.09734320731637636,0.0,0,,,,26249.0,300.0,3450015.71,6981302.03,4998029.433666666,3164284.8362573204,1,0,0,0,8,10086534.1,9260558.32,-981855.5800000001,5515112.24,-1807831.3599999994,1,0,
2012-09-02,2587099.44,1946097.28,0,6,2,9,3,2012,35,1,0,0,8560208.92,4280204.53,9297269.95,7691393.835714285,2814712.9549171757,-0.05980107906105392,0.0,0,,,,26249.0,300.0,3904300.93,7691393.835714285,4960288.831,2814712.9549171757,0,0,0,3,7,9104678.52,10086534.1,-544469.5999999996,4280004.39,437385.98000000045,0,0,
2012-09-03,3865505.01,3063431.08,0,0,3,9,3,2012,36,0,0,0,2587099.44,3038895.84,6384195.03,7449521.68,3202700.6294741086,-0.69777613324886,0.0,0,,,,26249.0,300.0,3541027.32,7449521.68,4736616.480666667,3202700.6294741086,0,0,0,2,6,8560208.92,9104678.52,-5973109.48,-451796.3999999999,-5428639.880000001,0,0,
2012-09-04,3645749.44,2876968.79,0,1,4,9,3,2012,36,0,0,0,3865505.01,9508676.62,2359224.19,7567608.704285714,3023179.6535389884,0.4941462822163496,0.0,0,,,,26249.0,300.0,4147483.23,7567608.704285714,4652660.1466666665,3023179.6535389884,0,0,0,1,5,2587099.44,8560208.92,1278405.5699999998,-5643171.609999999,7251515.050000001,0,0,
2012-09-05,2398185.51,1966376.48,0,2,5,9,3,2012,36,0,0,0,3645749.44,9260558.32,3630003.7,6730047.678571428,3202612.668804228,-0.05685041655139389,0.0,0,,,,26249.0,300.0,4597682.81,6730047.678571428,4695544.321666667,3202612.668804228,1,0,0,0,4,3865505.01,2587099.44,-219755.56999999983,-5614808.880000001,-1498161.1399999997,0,0,
2012-09-06,2858227.37,2147909.96,0,3,6,9,3,2012,36,0,0,0,2398185.51,10086534.1,2240253.44,5749708.705714285,3346004.126006396,-0.3421968378605854,0.0,0,,,,26249.0,300.0,5478869.55,5749708.705714285,4654483.715333332,3346004.126006396,0,0,0,9,3,3645749.44,3865505.01,-1247563.9300000002,-7688348.59,-1027808.3600000003,0,0,
2012-09-07,3282753.8,2580035.06,0,4,7,9,3,2012,36,0,0,0,2858227.37,9104678.52,2617553.36,4717093.458571428,2865397.347121636,0.19182913835552307,0.0,0,,,,26249.0,300.0,4637850.57,4717093.458571428,4675082.846333333,2865397.347121636,0,0,0,8,2,2398185.51,3645749.44,460041.86000000034,-6246451.149999999,1707605.7900000005,0,0,
2012-09-08,3666204.89,2804001.32,0,5,8,9,3,2012,36,1,0,0,3282753.8,8560208.92,4478691.52,3885389.927142857,2130231.7548760828,0.14852787236447162,0.0,0,,,,26249.0,300.0,3589566.28,3885389.927142857,4697256.1943333335,2130231.7548760828,0,0,0,7,1,2858227.37,2398185.51,424526.4299999997,-5277455.12,-35515.43000000063,0,0,
2012-09-09,4458501.42,3589475.8,0,6,9,9,3,2012,36,1,0,0,3666204.89,2587099.44,3412496.65,3186246.4942857143,577324.6722993271,0.11680775146768552,0.0,0,,,,26249.0,300.0,4280204.53,3186246.4942857143,4670173.306666667,577324.6722993271,0,1,0,6,0,3282753.8,2858227.37,383451.0900000003,1079105.4500000002,-41075.339999999385,0,0,
2012-09-10,4548962.79,3517300.88,0,0,10,9,3,2012,37,0,0,0,4458501.42,3865505.01,2732604.35,3453589.634285714,678131.2047682648,0.21610808827435712,0.0,0,,,,26249.0,300.0,3038895.84,3453589.634285714,4705040.132333334,678131.2047682648,0,0,0,5,30,3666204.89,3282753.8,792296.5299999998,592996.4100000001,408845.4399999995,0,0,
2012-09-11,4021565.55,3264364.41,0,1,11,9,3,2012,37,0,0,0,4548962.79,3645749.44,3388181.83,3551226.46,787676.8595732906,0.02028963579426213,0.0,0,,,,26249.0,300.0,9508676.62,3551226.46,4765585.4136666665,787676.8595732906,0,0,0,4,29,4458501.42,3666204.89,90461.37000000011,903213.3500000001,-701835.1599999997,0,0,
2012-09-12,3335978.29,2673690.65,0,2,12,9,3,2012,37,0,0,0,4021565.55,2398185.51,3928170.01,3604914.4757142854,807745.468908991,-0.1159379103208712,0.0,0,,,,26249.0,300.0,9260558.32,3604914.4757142854,4786698.204333333,807745.468908991,0,0,0,3,28,4548962.79,4458501.42,-527397.2400000002,1623380.04,-617858.6100000003,0,0,
2012-09-13,2609609.29,2103806.97,0,3,13,9,3,2012,37,0,0,0,3335978.29,2858227.37,4033912.16,3738884.8728571427,633141.8823845107,-0.17047770363956882,0.0,0,,,,26249.0,300.0,10086534.1,3738884.8728571427,4766958.480333333,633141.8823845107,0,0,0,2,27,4021565.55,4548962.79,-685587.2599999998,477750.9199999999,-158190.01999999955,0,0,
2012-09-14,3729228.43,2835412.27,0,4,14,9,3,2012,37,0,0,0,2609609.29,3282753.8,3780293.26,3703368.0042857146,694752.6452394562,-0.21773792778489576,0.0,0,,,,26249.0,300.0,9104678.52,3703368.0042857146,4719481.717999999,694752.6452394562,0,0,0,1,26,3335978.29,4021565.55,-726369.0,-673144.5099999998,-40781.74000000022,0,0,
2012-09-15,3605125.64,2849539.9,0,5,15,9,3,2012,37,1,0,0,3729228.43,3666204.89,5249978.18,3767150.0942857144,669746.5685044819,0.4290370762743567,0.0,0,,,,26249.0,300.0,8560208.92,3767150.0942857144,4717779.557,669746.5685044819,1,0,0,0,25,2609609.29,3335978.29,1119619.1400000001,63023.54000000004,1845988.1400000001,1,0,
2012-09-16,4452012.44,3561492.95,0,6,16,9,3,2012,37,1,0,0,3605125.64,4458501.42,4089284.05,3758424.4871428567,671675.9923404775,-0.03327840928210446,0.0,0,,,,26249.0,300.0,2587099.44,3758424.4871428567,4662951.1389999995,671675.9923404775,0,0,0,9,24,3729228.43,2609609.29,-124102.79000000004,-853375.7799999998,-1243721.9300000002,0,0,
2012-09-17,4811788.67,3932069.23,0,0,17,9,3,2012,38,0,0,0,4452012.44,4548962.79,3450015.71,3757497.4899999998,670552.3038614474,0.2349118684252014,0.0,0,,,,26249.0,300.0,3865505.01,3757497.4899999998,4675042.085333333,670552.3038614474,0,0,0,8,23,3605125.64,3729228.43,846886.8000000003,-96950.34999999963,970989.5900000003,0,0,
